Date,Open,High,Low,Close,Adj Close,Volume
2017-06-20,2035.393921,2188.697998,2035.381958,2154.849121,2154.849121,1467967660
2017-06-21,2145.063721,2194.608398,2099.266113,2121.745361,2121.745361,1283399059
2017-06-22,2123.268066,2150.094727,2085.524902,2134.108887,2134.108887,866088165
2017-06-23,2135.631592,2174.046631,2135.034912,2159.306152,2159.306152,756229528
2017-06-24,2154.279541,2169.556396,2032.087769,2052.171143,2052.171143,773088432
2017-06-25,2051.014893,2110.021973,2003.705811,2032.184814,2032.184814,911238449
2017-06-26,2033.095337,2051.981201,1868.887207,1948.313721,1948.313721,1307507271
2017-06-27,1948.313721,1992.544800,1826.644165,1992.544800,1992.544800,1162989814
2017-06-28,1992.997681,2014.217163,1938.529907,1990.252808,1990.252808,915103928
2017-06-29,1984.664185,1991.254639,1935.903809,1952.271851,1952.271851,730359812
2017-06-30,1952.210327,1965.478882,1903.409790,1905.260742,1905.260742,660681225
2017-07-01,1914.292358,1931.702637,1857.944824,1869.710449,1869.710449,598966272
2017-07-02,1871.131226,1932.277954,1839.213623,1926.127686,1926.127686,617649279
2017-07-03,1920.049194,2006.184814,1908.641113,1980.122070,1980.122070,744545524
2017-07-04,1977.758911,2033.057861,1977.248169,2011.473511,2011.473511,761957655
2017-07-05,2012.424683,2027.717529,1967.563232,2012.366577,2012.366577,728202641
2017-07-06,2017.092163,2017.828491,1993.583008,2011.691284,2011.691284,587612394
2017-07-07,2011.714478,2264.611328,1938.611450,1953.964233,1953.964233,711723792
2017-07-08,1955.213379,1994.833252,1933.522095,1994.833252,1994.833252,568913874
2017-07-09,1995.818604,2044.600464,1953.437378,1953.793579,1953.793579,409508145
2017-07-10,1959.076782,1972.754761,1802.679321,1842.049683,1842.049683,862732919
2017-07-11,1852.398926,1877.602295,1783.237671,1818.018555,1818.018555,1034108406
2017-07-12,1814.114624,1881.178223,1771.364014,1861.152954,1861.152954,866948598
2017-07-13,1864.147705,1880.598633,1809.826904,1821.756836,1821.756836,645731270
2017-07-14,1823.835327,1826.454956,1666.325684,1704.579468,1704.579468,673563559
2017-07-15,1702.121948,1702.900269,1519.165039,1525.614380,1525.614380,758363608
2017-07-16,1520.363281,1571.340210,1406.678345,1472.133667,1472.133667,902334286
2017-07-17,1474.269531,1708.794922,1474.269531,1707.724609,1707.724609,920959460
2017-07-18,1711.640747,1830.848999,1655.909180,1778.964233,1778.964233,1160299231
2017-07-19,1782.186523,1841.568604,1735.168091,1745.033691,1745.033691,955710801
2017-07-20,1742.316406,2237.503906,1742.182739,2173.403320,2173.403320,1735004652
2017-07-21,2189.455322,2189.117676,2017.739014,2053.386719,2053.386719,1146436256
